id;codigo;nomoficial;alt_izqini;alt_izqfin;alt_derini;alt_derfin;nomanter;tipo_c;observa;bicisenda;lado_ciclo;recorrid_x;ciclo_obse;desc_nomof;geojson
16015;3159;CONSTITUCION;2202;2300;2201;2299;;CALLE;;Ciclovías Proyectadas;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.39727,-34.62575],[-58.39709,-34.62573],[-58.39573,-34.62559]]]}"
16019;4014;DEAN FUNES;1202;1300;1201;1299;;CALLE;;Ciclovías Proyectadas;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.40581,-34.62423],[-58.40578,-34.62445],[-58.4056,-34.62577]]]}"
16042;23007;VALLE;1262;1300;1255;1299;DON CRISTOBAL;CALLE;;Ciclovías;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.44605,-34.62588],[-58.44533,-34.62559]]]}"
16068;3159;CONSTITUCION;2302;2400;2301;2399;;CALLE;;Ciclovías Proyectadas;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.39891,-34.62597],[-58.39866,-34.62593],[-58.39746,-34.62577],[-58.39727,-34.62575]]]}"
16073;1033;ALBERDI, JUAN BAUTISTA AV.;1402;1500;1401;1499;PROVINCIAS UNIDAS;AVENIDA;;Carriles Preferenciales;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.44789,-34.62539],[-58.44911,-34.626]]]}"
16088;17038;PAVON;1102;1200;1101;1199;;CALLE;;Ciclovías Proyectadas;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.38288,-34.62599],[-58.38224,-34.62596]]]}"
16107;17038;PAVON;1202;1300;1201;1299;;CALLE;;Ciclovías Proyectadas;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.38436,-34.62605],[-58.38288,-34.62599]]]}"
16116;9019;IRIGOYEN, BERNARDO de;1302;1500;1301;1499;DEL BUEN ORDEN;CALLE;;Ciclovías Proyectadas;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.37901,-34.62608],[-58.37963,-34.6243],[-58.37973,-34.62394],[-58.37978,-34.62372]]]}"
16117;17038;PAVON;1302;1400;1301;1399;;CALLE;;Ciclovías Proyectadas;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.38575,-34.62611],[-58.38436,-34.62605]]]}"
16130;4079;DOBLAS;702;800;701;799;TORINO;CALLE;correción numeración 16-1;Ciclovías Proyectadas;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.42992,-34.62615],[-58.42996,-34.62599],[-58.43008,-34.62543]]]}"
16134;3159;CONSTITUCION;2402;2500;2401;2499;;CALLE;;Ciclovías Proyectadas;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.40018,-34.62617],[-58.39891,-34.62597]]]}"
16491;3159;CONSTITUCION;3152;3200;3151;3199;;CALLE;;Ciclovías Proyectadas;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.41009,-34.62745],[-58.40948,-34.62741]]]}"
16136;17038;PAVON;1402;1500;1401;1499;;CALLE;;Ciclovías Proyectadas;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.38721,-34.62617],[-58.38701,-34.62616],[-58.38599,-34.62612],[-58.38575,-34.62611]]]}"
16146;17038;PAVON;1502;1600;1501;1599;;CALLE;;Ciclovías Proyectadas;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.38831,-34.6262],[-58.38721,-34.62617]]]}"
16147;3122;CEVALLOS, Virrey;1402;1500;1401;1499;ZEBALLOS - CEVALLOS;CALLE;;Ciclovías;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.38839,-34.62494],[-58.38831,-34.6262]]]}"
16194;3159;CONSTITUCION;2502;2600;2501;2599;;CALLE;;Ciclovías Proyectadas;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.40157,-34.62639],[-58.40018,-34.62617]]]}"
16209;21045;TREINTA Y TRES ORIENTALES;952;1000;951;999;TREINTA Y TRES;CALLE;corrección numeración 17-1;Ciclovías;;;;;"{""type"":""MultiLineString"",""coordinates"":[[[-58.42304,-34.62559],[-58.42289,-34.62625],[-58.42284,-34.62643]]]}"
